"";"lm1";"l0";"l1";"a";"l_stop"
"200";-5844,7904854433;-5844,79000604853;-5844,78954366256;0,964520266362146;-5844,77697365161
"201";-5844,79000604853;-5844,78954366256;-5844,78909754047;0,964826180375832;-5844,77686030615
"202";-5844,78954366256;-5844,78909754047;-5844,78866697108;0,96513801558197;-5844,77674685544
"203";-5844,78909754047;-5844,78866697108;-5844,78825127541;0,965455712792162;-5844,77663326855
"204";-5844,78866697108;-5844,78825127541;-5844,78784980516;0,965779224417647;-5844,776519506
"205";-5844,78825127541;-5844,78784980516;-5844,78746194131;0,966108578843401;-5844,7764054975
"206";-5844,78784980516;-5844,78746194131;-5844,78708709273;0,96644371644425;-5844,77629119944
"207";-5844,78746194131;-5844,78708709273;-5844,78672469492;0,966784530929481;-5844,77617657964
"208";-5844,78708709273;-5844,78672469492;-5844,78637420873;0,967131071923331;-5844,77606154881
"209";-5844,78672469492;-5844,78637420873;-5844,78603511925;0,967483158951846;-5844,77594609001
"210";-5844,78637420873;-5844,78603511925;-5844,78570693465;0,967840704476598;-5844,77583015068
"211";-5844,78603511925;-5844,78570693465;-5844,78538918512;0,968203670660073;-5844,7757136574
"212";-5844,78570693465;-5844,78538918512;-5844,78508142186;0,968571875809995;-5844,77559657832
"213";-5844,78538918512;-5844,78508142186;-5844,78478321611;0,968945234276714;-5844,7754788459
"214";-5844,78508142186;-5844,78478321611;-5844,78449415825;0,969323563633144;-5844,77536041831
"215";-5844,78478321611;-5844,78449415825;-5844,7842138569;0,969706730148647;-5844,7752412334
"216";-5844,78449415825;-5844,7842138569;-5844,7839419381;0,970094520769221;-5844,77512124878
"217";-5844,7842138569;-5844,7839419381;-5844,78367804448;0,970486843966781;-5844,77500037926
"218";-5844,7839419381;-5844,78367804448;-5844,78342183453;0,97088343106502;-5844,77487858926
"219";-5844,78367804448;-5844,78342183453;-5844,78317298191;0,971284032395881;-5844,7747558327
"220";-5844,78342183453;-5844,78317298191;-5844,78293117466;0,971688527481972;-5844,77463201875
"221";-5844,78317298191;-5844,78293117466;-5844,78269611466;0,972096613156731;-5844,77450710758
"222";-5844,78293117466;-5844,78269611466;-5844,7824675169;0,972508102748029;-5844,77438101894
"223";-5844,78269611466;-5844,7824675169;-5844,78224510896;0,972922684568881;-5844,77425370619
"224";-5844,7824675169;-5844,78224510896;-5844,7820286304;0,973340039254091;-5844,77412512114
"225";-5844,78224510896;-5844,7820286304;-5844,78181783221;0,973760159253383;-5844,7739951139
"226";-5844,7820286304;-5844,78181783221;-5844,78161247633;0,974182347872494;-5844,77386374412
"227";-5844,78181783221;-5844,78161247633;-5844,78141233511;0,974606709278104;-5844,77373081893
"228";-5844,78161247633;-5844,78141233511;-5844,78121719089;0,975032654632835;-5844,77359635709
"229";-5844,78141233511;-5844,78121719089;-5844,78102683549;0,975460109117801;-5844,77346021244
"230";-5844,78121719089;-5844,78102683549;-5844,78084106982;0,975888572952837;-5844,77332236972
"231";-5844,78102683549;-5844,78084106982;-5844,78065970349;0,976317839474654;-5844,77318271737
"232";-5844,78084106982;-5844,78065970349;-5844,78048255435;0,976747676149411;-5844,77304114697
"233";-5844,78065970349;-5844,78048255435;-5844,7803094482;0,977177425428351;-5844,77289768949
"234";-5844,78048255435;-5844,7803094482;-5844,78014021839;0,977607212038059;-5844,77275211256
"235";-5844,7803094482;-5844,78014021839;-5844,77997470545;0,978036514605037;-5844,7726043954
"236";-5844,78014021839;-5844,77997470545;-5844,77981275686;0,978464854486728;-5844,77245450584
"237";-5844,77997470545;-5844,77981275686;-5844,77965422665;0,97889216023413;-5844,7723022674
"238";-5844,77981275686;-5844,77965422665;-5844,77949897514;0,979318113021903;-5844,77214758549
"239";-5844,77965422665;-5844,77949897514;-5844,77934686869;0,97974219622149;-5844,77199043911
"240";-5844,77949897514;-5844,77934686869;-5844,77919777938;0,980164289274977;-5844,77183066158
"241";-5844,77934686869;-5844,77919777938;-5844,77905158478;0,980584086312905;-5844,77166815151
"242";-5844,77919777938;-5844,77905158478;-5844,77890816771;0,981001111665012;-5844,77150287628
"243";-5844,77905158478;-5844,77890816771;-5844,77876741599;0,981415400526769;-5844,77133460007
"244";-5844,77890816771;-5844,77876741599;-5844,77862922223;0,981826405088807;-5844,77116332021
"245";-5844,77876741599;-5844,77862922223;-5844,77849348364;0,982233896514123;-5844,77098890921
"246";-5844,77862922223;-5844,77849348364;-5844,77836010177;0,98263777104885;-5844,77081118273
"247";-5844,77849348364;-5844,77836010177;-5844,77822898236;0,983037745329147;-5844,77063003212
"248";-5844,77836010177;-5844,77822898236;-5844,77810003517;0,983433269993041;-5844,77044547951
"249";-5844,77822898236;-5844,77810003517;-5844,77797317374;0,983824684534413;-5844,77025713226
"250";-5844,77810003517;-5844,77797317374;-5844,7778483153;0,984211268063655;-5844,77006510056
"251";-5844,77797317374;-5844,7778483153;-5844,77772538052;0,984593167785903;-5844,76986907772
"252";-5844,7778483153;-5844,77772538052;-5844,77760429347;0,984969927915153;-5844,76966906148
"253";-5844,77772538052;-5844,77760429347;-5844,77748498135;0,985341576855042;-5844,76946480196
"254";-5844,77760429347;-5844,77748498135;-5844,77736737447;0,985707861092986;-5844,76925620005
"255";-5844,77748498135;-5844,77736737447;-5844,77725140601;0,98606865611728;-5844,76904309044
"256";-5844,77736737447;-5844,77725140601;-5844,77713701195;0,986423833409169;-5844,76882531198
"257";-5844,77725140601;-5844,77713701195;-5844,77702413095;0,98677329615024;-5844,76860268615
"258";-5844,77713701195;-5844,77702413095;-5844,77691270422;0,987116825170981;-5844,7683751189
"259";-5844,77702413095;-5844,77691270422;-5844,7768026754;0,987454351504253;-5844,76814242712
"260";-5844,77691270422;-5844,7768026754;-5844,77669399048;0,987785990109273;-5844,76790429382
"261";-5844,7768026754;-5844,77669399048;-5844,77658659766;0,988111480926907;-5844,76766066873
"262";-5844,77669399048;-5844,77658659766;-5844,7764804473;0,988430707773427;-5844,76741141591
"263";-5844,77658659766;-5844,7764804473;-5844,7763754918;0,988743758072863;-5844,76715624252
"264";-5844,7764804473;-5844,7763754918;-5844,77627168548;0,989050726067995;-5844,76689483409
"265";-5844,7763754918;-5844,77627168548;-5844,7761689846;0,989350938396839;-5844,76662756075
"266";-5844,77627168548;-5844,7761689846;-5844,77606734713;0,989645593225908;-5844,76635311838
"267";-5844,7761689846;-5844,77606734713;-5844,77596673282;0,989933189491671;-5844,76607269128
"268";-5844,77606734713;-5844,77596673282;-5844,77586710303;0,990215020618911;-5844,76578482096
"269";-5844,77596673282;-5844,77586710303;-5844,77576842068;0,990490297512178;-5844,76549008565
"270";-5844,77586710303;-5844,77576842068;-5844,7756706502;0,990759512216823;-5844,76518775901
"271";-5844,77576842068;-5844,7756706502;-5844,77557375748;0,991022353219087;-5844,76487798611
