"";"lm1";"l0";"l1";"a";"l_stop0";"l_stop"
"288";-5844,77411971478;-5844,77411971478;-5844,77403365527;Inf;NA;-5844,77411971478
"289";-5844,77403365527;-5844,77403365527;-5844,77394804646;Inf;NA;-5844,77403365527
"290";-5844,77394804646;-5844,77394804646;-5844,77386287245;Inf;NA;-5844,77394804646
"291";-5844,77386287245;-5844,77386287245;-5844,77377811793;Inf;NA;-5844,77386287245
"292";-5844,77377811793;-5844,77377811793;-5844,77369376821;Inf;NA;-5844,77377811793
"293";-5844,77369376821;-5844,77369376821;-5844,77360980912;Inf;NA;-5844,77369376821
"294";-5844,77360980912;-5844,77360980912;-5844,77352622707;Inf;NA;-5844,77360980912
"295";-5844,77352622707;-5844,77352622707;-5844,77344300894;Inf;NA;-5844,77352622707
"296";-5844,77344300894;-5844,77344300894;-5844,77336014215;Inf;NA;-5844,77344300894
"297";-5844,77336014215;-5844,77336014215;-5844,77327761453;Inf;NA;-5844,77336014215
"298";-5844,77327761453;-5844,77327761453;-5844,77319541445;Inf;NA;-5844,77327761453
"299";-5844,77319541445;-5844,77319541445;-5844,77311353065;Inf;NA;-5844,77319541445
"300";-5844,77311353065;-5844,77311353065;-5844,77303195232;Inf;NA;-5844,77311353065
"301";-5844,77303195232;-5844,77303195232;-5844,77295066902;Inf;NA;-5844,77303195232
